Disease Name,Recommended Treatment
Leaf Blight,Use Fungicide X (Copper-based)
Rust,Remove infected leaves immediately. Apply Sulfur dust.
Healthy,"Keep monitoring, water regularly."
Powdery Mildew,Spray Neem Oil or Sulfur based fungicide.
Bacterial Spot,Apply copper bactericides. Avoid overhead watering.
Aphids,Spray soapy water or Neem oil.
Spider Mites,"Increase humidity, use miticide."
Yellow Leaf Curl,"Control whiteflies, remove infected plants."
Root Rot,"Improve drainage, avoid overwatering."
Downy Mildew,"Improve air circulation, use specific fungicides."
Early Blight,"Mulch soil, use tomato-safe fungicide."
Mosaic Virus,Remove plant to prevent spread (No cure).
Scale Insects,"Prune infested branches, use horticultural oil."
Anthracnose,"Remove dead wood, use fungicidal sprays."
Mealybugs,"Dab with alcohol, spray insecticidal soap."
Cashew anthracnose,"Prune infected parts, use copper-based fungicides."
Cashew gumosis,"Improve drainage, apply Bordeaux paste to stems."
Cashew healthy,"Keep monitoring, maintain proper spacing."
Cashew leaf miner,"Use Neem oil or systemic insecticides."
Cashew red rust,"Improve air circulation, use sulfur fungicides."
Cassava bacterial blight,"Use healthy planting material, rotate crops."
Cassava brown spot,"Plant resistant varieties, remove infected leaves."
Cassava green mite,"Use predatory mites or biological controls."
Cassava healthy,"Keep monitoring, water regularly."
Cassava mosaic,"Use disease-free stems, control whiteflies."
Maize fall armyworm,"Apply Neem-based pesticides or biological controls."
Maize grasshoper,"Maintain field sanitation, use bird-friendly habitats."
Maize healthy,"Keep monitoring, ensure proper fertilization."
Maize leaf beetle,"Spray soapy water or use recommended insecticides."
Maize leaf blight,"Use host-resistant hybrids, rotate crops."
Maize leaf spot,"Avoid overhead irrigation, use fungicides if severe."
Maize streak virus,"Control leafhoppers, plant resistant varieties."
Tomato healthy,"Keep monitoring, water regularly."
Tomato leaf blight,"Apply copper-based fungicides, improve spacing."
Tomato leaf curl,"Control whiteflies, use reflective mulches."
Tomato septoria leaf spot,"Remove lower leaves, avoid overhead watering."
Tomato verticulium wilt,"Improve soil drainage, plant resistant varieties."
